0.010    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.029    0|0|0|0|0|0|0|1|0|0| 0|0|0|1|0|0|0|0|0|0|
0.049    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.068    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.088    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.107    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.127    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.147    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.166    0|0|0|0|0|0|0|0|0|0| 0|0|0|1|0|0|0|0|0|0|
0.186    0|0|0|0|0|0|0|0|0|0| 0|1|1|0|0|0|0|0|0|0|
0.205    0|0|0|0|0|0|1|0|1|0| 0|0|0|0|0|0|0|1|0|0|
0.225    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.244    0|0|0|0|0|2|0|0|0|0| 0|0|0|0|1|0|0|1|0|0|
0.264    0|0|0|0|0|1|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.283    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.303    1|0|0|0|0|0|0|0|1|0| 0|0|0|0|0|0|0|0|0|0|
0.322    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.342    0|0|0|0|0|0|0|0|0|0| 0|0|0|1|0|0|0|0|0|0|
0.362    0|0|0|1|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|1|0|
0.381    0|0|0|0|0|0|0|0|0|0| 0|1|0|0|0|1|0|0|0|0|
0.401    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.420    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|1|0|0|0|1|0|
0.440    0|0|1|0|0|0|1|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.459    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.479    0|0|0|0|0|0|1|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.498    0|0|0|0|0|0|1|0|0|0| 0|0|0|1|0|0|0|0|0|0|
0.518    0|1|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|1|0|
0.537    0|1|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.557    0|0|0|0|0|0|0|0|0|0| 0|1|0|0|0|0|1|0|0|0|
0.577    0|0|0|0|1|0|0|0|0|0| 0|2|0|0|0|0|0|0|0|0|
0.596    0|1|0|0|1|0|0|0|0|0| 0|0|0|1|1|0|0|0|0|0|
0.616    0|0|0|0|0|0|0|0|0|0| 0|1|0|0|0|1|0|1|1|0|
0.635    1|0|0|0|0|0|0|1|0|0| 0|0|0|1|0|0|0|0|0|0|
0.655    0|0|0|0|0|0|0|0|0|1| 0|0|0|0|0|0|1|1|0|0|
0.674    0|0|0|0|0|0|0|0|0|0| 0|0|0|1|0|0|0|0|0|0|
0.694    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|1|0|0|
0.713    0|0|1|0|1|0|0|0|0|0| 0|0|0|0|0|1|0|1|0|0|
0.733    1|0|0|0|0|2|0|0|0|0| 0|0|0|0|1|0|0|0|0|0|
0.752    0|0|2|0|0|0|1|1|0|0| 0|0|0|0|0|0|0|0|0|0|
0.772    0|0|0|1|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.792    0|0|0|0|0|0|0|0|0|0| 0|0|2|0|2|0|0|0|0|0|
0.811    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|1|0|0|0|
0.831    0|0|0|0|0|1|1|1|0|0| 0|0|0|0|1|0|0|0|0|1|
0.850    1|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|1|0|0|0|0|
0.870    0|0|0|0|0|0|0|0|0|0| 0|0|0|2|0|0|0|0|0|0|
0.889    0|0|1|0|0|0|0|0|0|0| 0|0|1|0|1|0|0|0|0|0|
0.909    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|0|0|0|
0.928    1|1|0|0|0|0|1|1|0|0| 0|0|0|0|0|0|0|0|0|0|
0.948    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|1|1|0|0|
0.967    0|0|0|0|0|0|0|0|0|0| 0|0|0|0|0|0|0|1|0|0|
0.987    0|1|0|0|1|0|0|0|0|0| 0|0|0|0|0|1|0|0|0|0|
1.006    0|0|2|0|0|0|0|0|0|0| 0|0|0|0|0|0|1|0|1|1|
1.026    0|0|0|1|0|0|0|0|0|0| 0|0|1|0|0|0|2|0|1|1|
1.046    0|1|0|0|0|1|0|0|0|0| 0|0|0|1|1|1|0|0|1|0|
1.065    0|0|1|0|0|0|1|0|0|0| 0|0|0|1|0|0|0|0|1|0|
1.085    0|0|0|1|0|0|0|0|0|0| 0|0|0|1|1|0|0|0|1|0|
1.104    0|0|0|0|1|1|0|1|0|0| 0|0|0|0|0|0|1|1|0|0|
1.124    0|1|0|1|1|0|0|1|0|0| 0|0|1|0|1|0|0|1|0|0|
1.143    0|1|1|0|0|2|0|0|1|0| 0|1|0|3|0|1|1|0|1|1|
1.163    1|0|0|0|1|2|0|0|0|0| 0|0|0|0|0|0|0|0|0|1|
1.182    1|0|0|1|0|0|1|1|0|0| 0|1|0|0|0|0|0|0|1|0|
1.202    0|0|0|0|1|0|1|0|0|1| 0|1|0|0|0|0|0|0|1|0|
1.221    0|1|0|0|0|1|1|1|0|0| 0|1|0|1|0|1|1|1|0|0|
1.241    0|0|0|0|0|0|0|1|0|0| 0|0|1|0|0|0|0|1|0|0|
1.261    0|0|0|2|1|0|0|0|0|0| 0|0|1|0|1|0|0|0|1|0|
1.280    0|0|0|1|0|1|0|0|2|0| 0|3|0|0|1|1|1|0|1|0|
1.300    0|0|0|1|1|0|0|1|0|0| 0|1|1|0|0|0|1|0|0|0|
1.319    0|1|0|0|0|0|0|0|0|1| 0|0|1|1|0|1|0|0|0|0|
1.339    1|0|0|0|1|0|0|0|0|0| 1|0|0|0|0|0|3|1|1|1|
1.358    0|1|1|1|0|0|2|1|0|0| 0|0|0|1|2|0|1|0|1|1|
1.378    0|1|2|2|1|0|1|0|0|1| 0|0|0|1|1|2|1|0|0|0|
1.397    1|0|0|1|0|1|0|0|0|0| 0|0|0|2|0|2|2|1|1|2|
1.417    0|0|2|1|0|1|1|0|0|0| 0|0|2|0|2|3|1|2|1|0|
1.436    0|1|0|0|0|0|0|1|0|1| 1|0|1|2|0|0|1|0|0|0|
1.456    0|0|1|1|1|0|1|0|0|0| 1|2|1|1|0|1|2|2|2|0|
1.476    0|1|0|0|0|0|0|0|0|0| 0|0|0|0|1|2|0|1|0|0|
1.495    1|0|0|1|1|0|0|0|2|0| 0|0|1|0|0|2|1|0|1|0|
1.515    1|0|0|0|1|0|0|2|0|0| 0|0|0|1|1|1|1|0|1|0|
1.534    0|0|0|0|1|0|3|0|1|0| 1|0|2|0|1|0|0|1|2|2|
1.554    0|0|1|0|2|1|2|2|1|0| 0|1|0|0|1|0|0|4|0|1|
1.573    1|0|0|1|2|1|0|0|0|0| 0|0|1|1|1|5|1|1|2|1|
1.593    1|1|2|0|0|1|0|0|0|0| 0|1|1|0|1|2|1|0|0|1|
1.612    2|0|2|2|0|1|2|1|0|0| 0|1|0|1|1|2|1|0|2|1|
1.632    0|0|2|1|0|2|1|3|3|1| 0|0|2|1|2|1|2|2|0|1|
1.651    1|3|1|2|2|1|1|0|0|1| 0|0|2|1|2|1|0|0|0|0|
1.671    1|2|1|1|0|0|0|1|0|0| 0|2|0|0|0|0|1|0|2|0|
1.691    1|1|2|0|0|0|1|0|0|0| 0|3|0|1|0|0|1|0|0|2|
1.710    0|0|0|2|2|3|1|0|0|0| 0|1|0|0|2|1|3|1|2|2|
1.730    0|1|0|0|1|2|1|0|0|0| 0|0|2|0|1|1|1|2|1|0|
1.749    1|0|2|1|1|2|1|0|1|0| 1|0|1|1|2|2|0|0|0|0|
1.769    0|1|3|2|0|1|4|4|0|0| 1|0|0|2|1|1|0|0|1|0|
1.788    0|2|0|1|0|1|3|1|0|0| 0|0|0|0|3|1|1|0|0|0|
1.808    0|0|3|0|2|0|0|1|1|0| 0|0|0|0|0|2|1|1|0|0|
1.827    0|0|1|0|3|2|1|1|0|0| 2|0|1|1|2|2|0|1|2|1|
1.847    1|3|0|2|0|1|2|1|0|0| 0|1|1|2|2|1|2|0|1|0|
1.866    2|1|1|3|1|1|3|1|1|0| 0|1|0|1|0|1|1|4|0|0|
1.886    1|1|4|2|1|1|2|0|1|0| 0|1|2|1|2|1|1|0|2|2|
1.905    1|1|4|1|1|3|2|1|2|1| 1|0|0|1|2|2|2|2|2|0|
1.925    3|0|1|3|3|2|2|0|1|1| 2|2|1|2|3|3|3|0|1|1|
1.945    2|3|1|1|1|2|3|0|2|2| 1|0|1|1|1|3|2|0|0|2|
1.964    0|0|3|2|2|1|0|1|1|0| 0|0|2|1|0|2|1|2|3|0|
1.984    1|1|4|6|3|4|2|2|0|1| 1|0|1|1|0|2|4|1|1|1|
2.003    1|1|1|4|2|0|1|2|0|0| 0|1|2|1|2|1|5|1|3|0|
2.023    1|1|0|2|2|2|2|1|0|0| 0|3|3|3|2|1|1|1|2|1|
2.042    4|5|2|2|2|5|2|2|2|2| 0|0|0|3|1|1|3|3|0|0|
2.062    1|0|2|3|1|1|2|3|1|0| 1|1|1|4|1|1|4|0|2|1|
2.081    1|2|3|3|3|2|4|1|0|1| 1|0|3|3|6|5|4|5|1|4|
2.101    3|2|3|2|4|3|4|0|2|0| 0|2|1|2|4|2|2|1|2|1|
2.120    3|4|2|1|0|4|1|3|0|1| 0|1|3|2|3|1|1|5|2|1|
2.140    0|2|2|3|1|6|3|2|2|0| 0|0|4|3|4|3|4|0|3|1|
2.160    0|0|0|5|4|5|2|3|0|2| 1|0|1|7|3|0|5|1|4|0|
2.179    1|1|0|1|3|9|0|2|1|1| 0|0|3|2|2|5|3|1|2|1|
2.199    1|1|4|2|3|3|3|1|1|0| 0|1|2|0|4|6|3|0|4|5|
2.218    0|1|2|3|2|7|7|2|0|0| 0|1|1|3|3|2|2|1|6|2|
2.238    3|1|3|5|3|1|5|4|0|1| 0|0|3|1|4|5|3|4|2|2|
2.257    3|0|4|6|3|5|2|1|0|0| 0|3|3|1|0|2|3|2|3|1|
2.277    1|2|3|7|7|3|2|2|0|0| 1|2|3|3|3|4|0|3|2|4|
2.296    1|1|5|1|2|1|1|6|1|0| 0|2|3|6|5|5|6|7|3|3|
2.316    2|0|3|4|8|3|2|1|2|0| 0|3|3|3|2|4|3|9|2|3|
2.335    1|3|3|7|3|4|5|4|3|0| 1|0|5|4|6|3|4|3|5|9|
2.355    4|2|4|3|2|2|6|5|0|1| 0|1|7|6|1|3|5|5|6|2|
2.375    3|1|3|7|3|5|4|1|2|1| 1|3|7|1|0|6|4|3|4|1|
2.394    2|4|9|5|2|5|4|4|3|2| 1|0|3|5|4|11|4|5|2|1|
2.414    2|5|6|1|3|2|6|3|4|0| 0|3|3|2|9|2|5|4|5|1|
2.433    4|1|5|6|12|5|4|4|1|1| 2|1|5|3|3|4|2|3|1|3|
2.453    4|2|6|6|7|5|4|1|4|0| 2|0|7|10|5|8|3|6|6|4|
2.472    1|8|2|6|10|9|4|9|4|3| 1|2|5|4|6|6|5|5|2|7|
2.492    10|3|3|6|6|7|4|7|4|2| 0|4|3|6|6|5|4|6|3|2|
2.511    5|10|6|5|7|5|5|4|0|1| 3|2|1|3|4|5|8|3|3|2|
2.531    8|5|2|8|4|11|5|5|4|4| 0|2|1|4|6|6|9|12|4|3|
2.550    3|5|6|5|5|3|4|7|3|1| 2|3|4|9|6|8|3|8|4|2|
2.570    5|6|7|6|3|4|8|2|1|1| 0|3|7|6|6|3|4|6|3|2|
2.590    7|3|6|11|9|5|5|2|2|4| 2|4|4|7|5|7|2|3|2|2|
2.609    6|8|6|8|7|6|3|5|4|1| 0|2|5|4|13|7|8|7|1|5|
2.629    6|5|6|10|12|5|4|5|2|1| 2|2|7|4|5|9|7|9|3|4|
2.648    5|3|7|5|11|5|4|4|6|3| 1|0|8|7|5|10|5|6|5|3|
2.668    7|9|6|8|9|12|10|4|4|1| 3|7|4|3|11|10|11|10|4|7|
2.687    4|6|9|5|7|7|7|7|3|2| 1|2|8|11|7|4|11|8|5|6|
2.707    3|5|8|10|8|8|5|6|0|1| 1|1|6|10|13|16|11|8|12|8|
2.726    10|9|14|8|8|8|11|4|7|3| 4|4|7|9|5|13|11|7|3|5|
2.746    6|7|10|16|8|12|10|7|8|3| 2|1|10|6|9|8|12|11|6|6|
2.765    7|13|9|19|16|9|9|5|2|0| 1|6|2|7|9|11|10|3|7|10|
2.785    4|10|10|9|8|20|11|8|5|2| 2|3|8|16|5|9|6|13|8|3|
2.804    7|8|10|9|4|6|11|10|7|1| 1|7|8|8|10|9|6|9|13|8|
2.824    11|8|6|9|12|15|14|6|5|1| 1|1|10|11|9|4|10|8|12|11|
2.844    8|8|6|12|8|9|18|5|9|5| 2|2|6|13|8|15|9|11|11|9|
2.863    12|5|11|6|20|13|16|13|4|1| 2|7|6|12|16|15|13|9|12|3|
2.883    6|11|13|12|19|17|11|10|10|1| 2|5|7|18|15|13|14|10|10|8|
2.902    7|12|10|17|13|9|11|7|5|4| 4|4|11|7|10|13|14|11|11|10|
2.922    9|6|7|10|12|13|11|11|8|4| 2|7|7|15|8|17|12|16|10|12|
2.941    15|10|11|12|21|11|16|16|2|2| 3|7|13|14|15|19|16|14|8|16|
2.961    10|7|16|21|12|14|15|9|8|0| 1|7|8|13|15|18|16|15|12|8|
2.980    12|22|10|12|17|11|10|11|5|3| 2|3|8|12|13|12|19|11|10|9|
3.000    9|16|14|16|23|13|9|9|5|5| 2|8|10|15|15|21|21|8|17|7|
3.019    10|15|15|18|14|17|11|6|10|3| 2|7|13|12|16|24|15|11|13|3|
3.039    7|13|21|19|18|17|9|10|11|2| 2|10|10|19|18|17|19|15|14|19|
3.059    12|16|22|12|22|29|15|14|7|3| 9|6|19|18|12|18|14|19|15|16|
3.078    10|23|11|19|19|17|18|6|8|5| 0|9|10|15|20|13|16|18|12|16|
3.098    11|16|15|15|20|18|12|12|4|1| 3|5|9|14|22|16|17|23|6|12|
3.117    17|19|18|14|21|25|15|16|12|3| 0|6|16|18|16|20|34|25|14|17|
3.137    20|21|27|18|32|22|21|16|8|5| 4|7|15|22|30|27|24|18|14|21|
3.156    19|16|17|22|18|27|13|16|12|6| 1|12|13|20|21|18|19|27|17|16|
3.176    17|15|15|19|26|22|17|16|10|4| 4|11|14|17|25|14|27|20|19|20|
3.195    11|19|21|20|25|23|25|20|10|7| 3|10|15|11|19|22|19|26|13|18|
3.215    15|14|24|24|21|21|17|22|7|4| 3|13|20|20|28|15|21|28|22|15|
3.234    18|23|25|28|28|19|12|18|12|3| 5|10|18|17|31|26|26|18|15|19|
3.254    26|23|19|35|25|29|27|17|12|2| 5|13|11|19|30|21|27|24|24|22|
3.274    14|22|20|28|35|23|29|17|17|7| 7|9|11|17|25|28|28|21|22|22|
3.293    12|23|29|25|31|28|29|28|9|2| 4|13|20|43|27|36|38|36|25|20|
3.313    21|28|30|32|33|21|30|24|12|2| 4|15|20|22|35|32|29|32|25|15|
3.332    24|29|34|34|40|31|30|19|9|6| 5|15|20|26|34|35|29|26|28|23|
3.352    23|19|34|30|37|38|33|21|9|1| 3|9|32|21|37|38|32|36|22|22|
3.371    18|25|38|38|36|38|27|19|13|1| 5|12|27|28|28|45|35|31|26|28|
3.391    30|38|33|29|31|38|38|31|17|6| 4|21|22|36|38|26|31|22|32|14|
3.410    24|21|44|24|41|37|23|28|19|8| 3|19|26|37|39|31|32|36|28|17|
3.430    27|29|31|52|35|31|39|22|14|11| 5|10|31|35|35|40|36|31|35|31|
3.449    38|30|41|37|33|41|27|22|9|2| 7|12|24|40|35|43|48|33|42|17|
3.469    26|29|37|36|40|38|26|23|18|7| 9|13|18|36|40|42|42|39|39|28|
3.489    26|32|52|42|32|52|37|29|25|7| 10|20|21|41|38|40|47|51|36|29|
3.508    39|36|29|57|46|44|32|31|25|4| 6|21|26|31|39|52|47|44|32|23|
3.528    22|33|44|49|55|52|39|30|20|9| 7|25|35|45|47|60|39|40|33|39|
3.547    40|39|47|35|47|36|40|31|20|4| 13|17|29|38|44|60|55|36|49|47|
3.567    30|46|44|49|51|58|40|39|22|4| 5|19|40|45|44|56|36|47|45|39|
3.586    44|50|45|41|57|61|40|33|26|8| 8|23|36|53|59|58|70|56|36|37|
3.606    34|39|57|57|68|55|42|35|22|9| 8|24|44|40|50|57|61|49|48|42|
3.625    42|56|63|53|63|65|45|36|33|10| 7|20|40|39|59|51|61|47|47|41|
3.645    35|48|49|62|72|51|47|35|24|8| 8|35|45|53|64|63|54|61|49|38|
3.664    49|56|64|63|69|53|56|37|24|8| 7|26|52|56|47|61|62|59|58|44|
3.684    37|51|62|75|58|61|59|32|21|11| 2|21|27|51|46|55|67|55|50|35|
3.703    49|76|50|68|80|72|59|36|39|12| 9|25|50|49|56|54|44|48|41|51|
3.723    37|65|70|75|63|49|55|58|26|7| 8|26|49|52|69|71|70|60|54|50|
