   3.00  0.673  7.88E+00 5.55E+00 3.19E+01 5.15E-01 1.28E+00 1.46E+00 1.15E+00 6.93E-01 3.27E-01 1.24E-01 3.77E-02 9.35E-03 1.89E-03 3.12E-04 4.22E-05 4.69E-06 4.28E-07 3.21E-08 1.98E-09 1.01E-10 4.22E-12 1.46E-13 4.15E-15 9.74E-17 1.89E-18 3.01E-20 3.97E-22 4.32E-24 3.88E-26 2.88E-28 1.76E-30 1.00E-30 1.00E-30
   3.25  0.700  9.52E+00 6.55E+00 3.76E+01 6.08E-01 1.51E+00 1.72E+00 1.36E+00 8.17E-01 3.86E-01 1.46E-01 4.45E-02 1.10E-02 2.23E-03 3.68E-04 4.97E-05 5.52E-06 5.04E-07 3.78E-08 2.34E-09 1.19E-10 4.97E-12 1.72E-13 4.89E-15 1.15E-16 2.22E-18 3.55E-20 4.68E-22 5.10E-24 4.58E-26 3.40E-28 2.08E-30 1.00E-30 1.00E-30
   3.50  0.727  1.14E+01 7.72E+00 4.44E+01 7.16E-01 1.78E+00 2.02E+00 1.60E+00 9.63E-01 4.55E-01 1.72E-01 5.24E-02 1.30E-02 2.62E-03 4.33E-04 5.86E-05 6.51E-06 5.94E-07 4.46E-08 2.75E-09 1.40E-10 5.86E-12 2.02E-13 5.76E-15 1.35E-16 2.62E-18 4.19E-20 5.52E-22 6.01E-24 5.40E-26 4.00E-28 2.45E-30 1.00E-30 1.00E-30
   3.75  0.752  1.37E+01 9.10E+00 5.23E+01 8.44E-01 2.09E+00 2.39E+00 1.89E+00 1.14E+00 5.37E-01 2.03E-01 6.18E-02 1.53E-02 3.09E-03 5.11E-04 6.91E-05 7.68E-06 7.00E-07 5.26E-08 3.25E-09 1.65E-10 6.91E-12 2.39E-13 6.79E-15 1.59E-16 3.09E-18 4.94E-20 6.51E-22 7.08E-24 6.36E-26 4.72E-28 2.89E-30 1.00E-30 1.00E-30
   4.00  0.777  1.64E+01 1.07E+01 6.21E+01 9.82E-01 2.44E+00 2.80E+00 2.23E+00 1.36E+00 6.49E-01 2.49E-01 7.74E-02 1.96E-02 4.05E-03 6.88E-04 9.59E-05 1.10E-05 1.04E-06 8.09E-08 5.20E-09 2.76E-10 1.21E-11 4.38E-13 1.31E-14 3.25E-16 6.65E-18 1.13E-19 1.58E-21 1.83E-23 1.76E-25 1.40E-27 9.22E-30 1.00E-30 1.00E-30
   4.25  0.801  1.96E+01 1.26E+01 7.44E+01 1.12E+00 2.81E+00 3.25E+00 2.64E+00 1.64E+00 8.09E-01 3.22E-01 1.04E-01 2.76E-02 6.01E-03 1.08E-03 1.60E-04 1.97E-05 2.00E-06 1.69E-07 1.19E-08 6.90E-10 3.33E-11 1.34E-12 4.48E-14 1.24E-15 2.87E-17 5.53E-19 8.85E-21 1.18E-22 1.31E-24 1.21E-26 9.28E-29 1.00E-30 1.00E-30
   4.50  0.824  2.33E+01 1.49E+01 8.90E+01 1.28E+00 3.23E+00 3.79E+00 3.12E+00 1.98E+00 1.00E+00 4.12E-01 1.39E-01 3.83E-02 8.77E-03 1.66E-03 2.62E-04 3.44E-05 3.75E-06 3.42E-07 2.60E-08 1.65E-09 8.74E-11 3.87E-12 1.43E-13 4.43E-15 1.15E-16 2.49E-18 4.51E-20 6.84E-22 8.68E-24 9.23E-26 8.21E-28 6.12E-30 1.00E-30
   4.75  0.846  2.77E+01 1.76E+01 1.06E+02 1.47E+00 3.72E+00 4.40E+00 3.69E+00 2.39E+00 1.24E+00 5.26E-01 1.83E-01 5.28E-02 1.26E-02 2.52E-03 4.20E-04 5.86E-05 6.84E-06 6.69E-07 5.49E-08 3.78E-09 2.18E-10 1.06E-11 4.32E-13 1.48E-14 4.27E-16 1.03E-17 2.11E-19 3.62E-21 5.22E-23 6.33E-25 6.46E-27 5.55E-29 1.00E-30
   5.00  0.868  3.29E+01 2.07E+01 1.27E+02 1.69E+00 4.29E+00 5.12E+00 4.35E+00 2.88E+00 1.53E+00 6.67E-01 2.40E-01 7.19E-02 1.80E-02 3.77E-03 6.62E-04 9.78E-05 1.21E-05 1.27E-06 1.12E-07 8.33E-09 5.23E-10 2.77E-11 1.24E-12 4.67E-14 1.49E-15 4.01E-17 9.12E-19 1.76E-20 2.86E-22 3.93E-24 4.57E-26 4.49E-28 3.73E-30
   5.50  0.911  4.73E+01 2.88E+01 1.82E+02 2.22E+00 5.70E+00 6.93E+00 6.05E+00 4.14E+00 2.30E+00 1.06E+00 4.05E-01 1.30E-01 3.53E-02 8.08E-03 1.56E-03 2.57E-04 3.58E-05 4.24E-06 4.27E-07 3.66E-08 2.67E-09 1.66E-10 8.76E-12 3.95E-13 1.52E-14 4.96E-16 1.38E-17 3.29E-19 6.69E-21 1.16E-22 1.71E-24 2.15E-26 2.32E-28
   6.00  0.951  6.73E+01 4.00E+01 2.59E+02 2.94E+00 7.58E+00 9.37E+00 8.38E+00 5.92E+00 3.43E+00 1.65E+00 6.69E-01 2.29E-01 6.67E-02 1.65E-02 3.49E-03 6.31E-04 9.76E-05 1.29E-05 1.47E-06 1.43E-07 1.19E-08 8.53E-10 5.25E-11 2.77E-12 1.26E-13 4.91E-15 1.65E-16 4.74E-18 1.17E-19 2.50E-21 4.58E-23 7.21E-25 9.76E-27
   6.50  0.990  9.51E+01 5.56E+01 3.69E+02 3.89E+00 1.01E+01 1.27E+01 1.16E+01 8.43E+00 5.06E+00 2.54E+00 1.08E+00 3.93E-01 1.22E-01 3.25E-02 7.44E-03 1.47E-03 2.49E-04 3.64E-05 4.60E-06 5.02E-07 4.74E-08 3.87E-09 2.73E-10 1.66E-11 8.78E-13 4.01E-14 1.59E-15 5.43E-17 1.61E-18 4.13E-20 9.19E-22 1.77E-23 2.95E-25
   7.00  1.028  1.34E+02 7.73E+01 5.26E+02 5.16E+00 1.35E+01 1.72E+01 1.60E+01 1.19E+01 7.40E+00 3.87E+00 1.73E+00 6.60E-01 2.17E-01 6.18E-02 1.52E-02 3.24E-03 5.98E-04 9.60E-05 1.34E-05 1.62E-06 1.71E-07 1.57E-08 1.25E-09 8.70E-11 5.27E-12 2.78E-13 1.28E-14 5.12E-16 1.79E-17 5.43E-19 1.44E-20 3.33E-22 6.72E-24
   7.50  1.064  1.87E+02 1.07E+02 7.47E+02 6.86E+00 1.81E+01 2.32E+01 2.20E+01 1.69E+01 1.08E+01 5.84E+00 2.71E+00 1.09E+00 3.78E-01 1.14E-01 2.99E-02 6.85E-03 1.37E-03 2.39E-04 3.64E-05 4.85E-06 5.66E-07 5.78E-08 5.17E-09 4.05E-10 2.78E-11 1.67E-12 8.80E-14 4.07E-15 1.65E-16 5.85E-18 1.82E-19 4.98E-21 1.19E-22
   8.00  1.099  2.62E+02 1.49E+02 1.06E+03 9.14E+00 2.42E+01 3.15E+01 3.03E+01 2.37E+01 1.56E+01 8.72E+00 4.21E+00 1.76E+00 6.44E-01 2.05E-01 5.72E-02 1.40E-02 3.00E-03 5.64E-04 9.33E-05 1.36E-05 1.74E-06 1.96E-07 1.94E-08 1.70E-09 1.31E-10 8.85E-12 5.29E-13 2.79E-14 1.29E-15 5.30E-17 1.91E-18 6.09E-20 1.71E-21
   8.50  1.132  3.66E+02 2.07E+02 1.50E+03 1.22E+01 3.25E+01 4.26E+01 4.17E+01 3.33E+01 2.24E+01 1.29E+01 6.47E+00 2.82E+00 1.08E+00 3.61E-01 1.06E-01 2.76E-02 6.31E-03 1.27E-03 2.27E-04 3.58E-05 5.00E-06 6.16E-07 6.72E-08 6.49E-09 5.55E-10 4.21E-11 2.82E-12 1.68E-13 8.82E-15 4.12E-16 1.70E-17 6.24E-19 2.03E-20
   9.00  1.165  5.10E+02 2.88E+02 2.13E+03 1.63E+01 4.36E+01 5.78E+01 5.73E+01 4.66E+01 3.21E+01 1.90E+01 9.84E+00 4.45E+00 1.77E+00 6.22E-01 1.93E-01 5.29E-02 1.29E-02 2.77E-03 5.30E-04 8.99E-05 1.36E-05 1.82E-06 2.17E-07 2.29E-08 2.16E-09 1.81E-10 1.35E-11 8.98E-13 5.31E-14 2.79E-15 1.31E-16 5.46E-18 2.03E-19
   9.50  1.197  7.10E+02 4.01E+02 3.02E+03 2.18E+01 5.86E+01 7.83E+01 7.87E+01 6.51E+01 4.58E+01 2.79E+01 1.49E+01 6.96E+00 2.88E+00 1.05E+00 3.42E-01 9.89E-02 2.54E-02 5.81E-03 1.19E-03 2.16E-04 3.50E-05 5.06E-06 6.54E-07 7.55E-08 7.79E-09 7.17E-10 5.91E-11 4.35E-12 2.86E-13 1.68E-14 8.84E-16 4.16E-17 1.75E-18
  10.00  1.228  9.89E+02 5.57E+02 4.28E+03 2.93E+01 7.89E+01 1.06E+02 1.08E+02 9.08E+01 6.51E+01 4.06E+01 2.23E+01 1.08E+01 4.61E+00 1.76E+00 5.97E-01 1.81E-01 4.89E-02 1.18E-02 2.56E-03 4.96E-04 8.61E-05 1.34E-05 1.87E-06 2.33E-07 2.61E-08 2.63E-09 2.37E-10 1.92E-11 1.40E-12 9.10E-14 5.33E-15 2.80E-16 1.32E-17
  11.00  1.288  2.06E+03 1.08E+03 8.55E+03 5.27E+01 1.43E+02 1.96E+02 2.03E+02 1.76E+02 1.31E+02 8.52E+01 4.90E+01 2.51E+01 1.15E+01 4.70E+00 1.73E+00 5.69E-01 1.69E-01 4.52E-02 1.09E-02 2.37E-03 4.64E-04 8.20E-05 1.31E-05 1.89E-06 2.46E-07 2.89E-08 3.08E-09 2.96E-10 2.57E-11 2.02E-12 1.43E-13 9.20E-15 5.34E-16
  12.00  1.345  4.14E+03 2.08E+03 1.71E+04 9.55E+01 2.61E+02 3.61E+02 3.83E+02 3.39E+02 2.60E+02 1.76E+02 1.06E+02 5.69E+01 2.75E+01 1.20E+01 4.72E+00 1.68E+00 5.41E-01 1.58E-01 4.18E-02 1.00E-02 2.18E-03 4.32E-04 7.78E-05 1.27E-05 1.89E-06 2.55E-07 3.13E-08 3.49E-09 3.55E-10 3.28E-11 2.76E-12 2.11E-13 1.47E-14
  13.00  1.400  8.15E+03 4.01E+03 3.40E+04 1.74E+02 4.78E+02 6.68E+02 7.19E+02 6.51E+02 5.14E+02 3.59E+02 2.24E+02 1.26E+02 6.42E+01 2.95E+01 1.23E+01 4.69E+00 1.62E+00 5.12E-01 1.47E-01 3.86E-02 9.23E-03 2.02E-03 4.03E-04 7.35E-05 1.23E-05 1.87E-06 2.60E-07 3.32E-08 3.87E-09 4.12E-10 4.02E-11 3.59E-12 2.93E-13
  14.00  1.453  1.59E+04 7.75E+03 6.75E+04 3.17E+02 8.76E+02 1.24E+03 1.35E+03 1.25E+03 1.01E+03 7.26E+02 4.70E+02 2.75E+02 1.46E+02 7.05E+01 3.11E+01 1.25E+01 4.62E+00 1.56E+00 4.83E-01 1.37E-01 3.56E-02 8.50E-03 1.86E-03 3.75E-04 6.92E-05 1.18E-05 1.83E-06 2.63E-07 3.46E-08 4.19E-09 4.67E-10 4.78E-11 4.50E-12
  15.00  1.504  3.09E+04 1.50E+04 1.34E+05 5.80E+02 1.61E+03 2.29E+03 2.54E+03 2.39E+03 1.97E+03 1.46E+03 9.72E+02 5.89E+02 3.25E+02 1.64E+02 7.60E+01 3.23E+01 1.26E+01 4.52E+00 1.49E+00 4.54E-01 1.27E-01 3.29E-02 7.83E-03 1.72E-03 3.48E-04 6.51E-05 1.12E-05 1.79E-06 2.63E-07 3.56E-08 4.47E-09 5.17E-10 5.52E-11
  16.00  1.554  5.98E+04 2.89E+04 2.66E+05 1.06E+03 2.97E+03 4.26E+03 4.77E+03 4.56E+03 3.84E+03 2.90E+03 1.99E+03 1.24E+03 7.12E+02 3.74E+02 1.81E+02 8.06E+01 3.31E+01 1.25E+01 4.40E+00 1.42E+00 4.27E-01 1.18E-01 3.03E-02 7.21E-03 1.59E-03 3.23E-04 6.11E-05 1.07E-05 1.73E-06 2.60E-07 3.63E-08 4.69E-09 5.62E-10
  17.00  1.601  1.16E+05 5.58E+04 5.25E+05 1.96E+03 5.48E+03 7.93E+03 8.97E+03 8.69E+03 7.45E+03 5.75E+03 4.04E+03 2.60E+03 1.53E+03 8.33E+02 4.18E+02 1.94E+02 8.34E+01 3.32E+01 1.22E+01 4.19E+00 1.33E+00 3.93E-01 1.08E-01 2.74E-02 6.47E-03 1.42E-03 2.91E-04 5.53E-05 9.77E-06 1.61E-06 2.46E-07 3.50E-08 4.63E-09
